yr,roms.central.sst,roms.central.ssh,roms.central.ild,roms.central.BV,roms.central.cuti,roms.central.beuti,roms.south.sst,roms.south.ssh,roms.south.ild,roms.south.BV,roms.south.cuti,roms.south.beuti
1980,12.989,0.100708333,30.82716667,0.008246883,0.558333333,5.801666667,15.465,0.129648167,23.17733333,0.008821933,0.261666667,1.045
1981,13.82725,0.0870745,24.1915,0.008222133,0.498333333,4.548333333,16.76508333,0.122282333,20.31765833,0.009030708,0.2125,0.529166667
1982,13.04116667,0.102518025,28.2885,0.008299517,0.475833333,5.093333333,16.55066667,0.131914667,20.08686667,0.009004867,0.270833333,0.609166667
1983,13.8005,0.147624417,32.62033333,0.008337958,0.3425,2.5225,16.99825,0.185454167,26.761,0.008942775,0.21,0.293333333
1984,13.97466667,0.145470333,30.85416667,0.008731708,0.526666667,4.566666667,17.55625,0.173657333,21.323275,0.009600883,0.27,0.495
1985,13.1455,0.091144417,31.66266667,0.008153917,0.5025,5.421666667,16.91225,0.129023,22.56930833,0.009305742,0.225833333,0.623333333
1986,13.10016667,0.095239833,27.50983333,0.008106667,0.384166667,3.66,16.85691667,0.120645083,19.23306667,0.009252142,0.190833333,0.33
1987,13.23133333,0.10824075,29.162,0.007935308,0.375833333,3.698333333,16.85775,0.148347083,21.45915,0.009291342,0.204166667,0.3375
1988,13.2485,0.091880583,30.71516667,0.007933425,0.514205,5.495958333,16.57533333,0.1201165,20.24151667,0.009148042,0.292443333,0.7150525
1989,12.48141667,0.034979,29.45416667,0.007643525,0.599225833,7.479983333,16.07558333,0.071475667,17.30374167,0.008892475,0.297305,1.019669417
1990,12.97158333,0.059704417,28.36516667,0.0075122,0.6773025,7.705191667,16.74225,0.110290833,18.34245833,0.0091822,0.327695,0.654839417
1991,12.92966667,0.068953888,31.92466667,0.007398125,0.67629,8.446814167,16.6905,0.120519333,20.37235,0.009190342,0.387471667,1.062296583
1992,13.69916667,0.105834083,26.22166667,0.007868558,0.42389025,2.991078333,16.96833333,0.1532815,19.298025,0.009395242,0.267611667,0.177526417
1993,14.06291667,0.104781667,30.42125,0.008495625,0.46973975,2.643510833,17.5515,0.142761333,20.48941667,0.009904533,0.364694417,0.393553
1994,13.54341667,0.085640908,30.41416667,0.007983783,0.579864442,5.2113575,16.97516667,0.135477583,20.76779167,0.009587033,0.28225,0.502638333
1995,13.27866667,0.087678167,32.38483333,0.007781975,0.442708833,3.777864167,16.59575,0.131958083,22.28325,0.009238783,0.304166083,0.56783275
1996,13.95566667,0.074505,25.06975,0.00836655,0.602899417,4.83708,17.15433333,0.106501,16.95419167,0.009685417,0.355610833,0.528415583
1997,13.25358333,0.073855917,28.044,0.007849608,0.640024167,6.1975775,17.04241667,0.1119245,17.60374167,0.009492025,0.332943917,0.57418975
1998,14.73458333,0.145407083,36.69754167,0.008492342,0.436541917,2.700053583,18.11566667,0.181543833,28.588525,0.009472733,0.342194167,0.297919917
1999,12.65316667,0.043170525,34.512,0.007865325,0.788346667,9.934560833,16.2315,0.081214833,22.91671667,0.009048433,0.362916667,1.21144725
2000,13.02175,0.058844333,28.884,0.007784592,0.60172525,6.19485,16.28125,0.082432333,18.95173333,0.0090394,0.3708325,0.854921667
2001,12.74941667,0.052233867,31.438,0.007258458,0.762205833,8.954141667,16.41608333,0.098539417,20.99295,0.008925625,0.357415833,1.1017475
2002,12.53941667,0.05054505,35.34433333,0.007244908,0.837844167,10.31921417,16.04466667,0.0890645,21.81973333,0.008720567,0.4677225,1.796025583
2003,13.16183333,0.075249417,34.611,0.008089433,0.670943917,6.897341667,16.34241667,0.100539,23.690025,0.008946975,0.434665833,1.207190833
2004,13.31616667,0.08684025,35.3395,0.008317892,0.691946108,6.2872025,16.62016667,0.109282917,23.33025833,0.009397542,0.521805,1.129269167
2005,13.54333333,0.089606583,34.69133333,0.008127383,0.597081417,4.412363333,16.80866667,0.123787333,23.26641667,0.009534075,0.471223333,0.89957725
2006,12.9305,0.072454083,38.00425,0.008003442,0.694533917,6.787955833,16.21825,0.088362417,21.29421667,0.009075308,0.422610833,1.158745
2007,12.69,0.060185637,45.86341667,0.007426175,0.823805833,10.20863583,16.63383333,0.098314667,25.31983333,0.00888095,0.507973333,1.641471667
2008,12.31583333,0.043690967,42.91841667,0.007459717,0.84632,11.59789167,16.0045,0.07574885,24.03676667,0.00862275,0.5357225,2.277221667
2009,12.57925,0.060961175,42.25683333,0.007563175,0.653663083,8.362083333,16.44133333,0.099639,22.542,0.009060283,0.36400025,1.06744525
2010,12.86016667,0.089112333,38.08116667,0.007823117,0.634889417,6.944314167,16.43891667,0.119270667,27.99316667,0.008940842,0.42469475,1.249061083
2011,12.38291667,0.051076,34.51158333,0.007871608,0.595360833,7.581316667,15.5155,0.069174167,19.54695833,0.008834842,0.38147275,1.351666667
2012,12.36516667,0.026608948,26.26691667,0.007154492,0.665969167,8.204139167,15.86658333,0.073224925,17.471275,0.008709492,0.447110833,1.524944167
2013,12.6975,0.040649158,27.49483333,0.007174525,0.735153583,10.09401083,16.67641667,0.084934833,17.49794167,0.008628875,0.491305833,2.1373645
2014,13.242,0.064095083,24.12541667,0.007741308,0.687596667,7.966916667,17.04508333,0.108809333,16.3254,0.009135158,0.46339,1.040888917
2015,14.62191667,0.11532625,20.62480833,0.008604975,0.501525,5.235093583,18.40683333,0.164769167,16.15919167,0.010169692,0.38616775,0.572247583
2016,14.49891667,0.114982167,21.7692,0.008877242,0.545183333,4.321560833,18.27208333,0.162665,17.004625,0.009976258,0.524360833,1.095506667
2017,13.38983333,0.0546795,23.28939167,0.008391417,0.601888833,6.703171417,17.179,0.094722083,15.558375,0.00961855,0.482083333,1.6194975
2018,13.47258333,0.051430908,23.19216667,0.007964058,0.707413333,8.221958583,17.33875,0.093746083,15.464825,0.009358767,0.484889167,1.552330583
2019,13.57516667,0.065410417,25.343,0.007965325,0.666533333,6.957183333,17.53825,0.104253417,17.48300833,0.009320742,0.426499167,0.963446917
2020,13.507,0.051927,15.719,0.0073615,1.3325,16.631,18.416,0.10281,7.4554,0.0095861,0.652,1.8333